"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","TG","OV15","OV25","OV35","TY","TR","homewinmargin","awaywinmargin","GSCS","GSH"
"55","E0",2021-09-25,"Leicester","Burnley",2,2,"D",1,2,"A",1.6,4.09,6.37,"1-2","2-2",22,5,9,3,2,4,0,0,4,"Y","Y","Y",6,0,-1,-1,"-1,-1",0
"63","E0",2021-10-02,"Chelsea","Southampton",3,1,"H",1,0,"H",1.4,4.91,9.22,"1-0","3-1",20,9,6,2,1,3,0,1,4,"Y","Y","Y",4,1,-1,-1,"-1,-1",0
"84","E0",2021-10-23,"Everton","Watford",2,5,"A",1,1,"D",1.68,3.88,5.79,"1-1","2-5",15,4,20,8,4,3,0,0,7,"Y","Y","Y",7,0,-1,-5,"-1,-5",4
"97","E0",2021-10-30,"Tottenham","Man United",0,3,"A",0,1,"A",3.04,3.66,2.38,"0-1","0-3",9,0,10,4,2,3,0,0,3,"Y","Y","N",5,0,-1,-5,"-1,-5",4
"103","E0",2021-11-06,"Brentford","Norwich",1,2,"A",0,2,"A",1.63,4.05,6.06,"0-2","1-2",19,7,9,5,2,3,0,0,3,"Y","Y","N",5,0,-2,-1,"-2,-1",-1
"108","E0",2021-11-07,"Everton","Tottenham",0,0,"D",0,0,"D",3.15,3.34,2.46,"0-0","0-0",12,2,8,0,2,4,1,0,0,"N","N","N",6,1,-1,-3,"-1,-3",2
"132","E1",2021-08-14,"Reading","Preston",2,1,"H",1,0,"H",2.2,3.38,3.53,"1-0","2-1",12,2,13,5,3,0,0,0,3,"Y","Y","N",3,0,-1,-3,"-1,-3",2
"134","E1",2021-08-14,"Swansea","Sheffield United",0,0,"D",0,0,"D",3.11,3.2,2.51,"0-0","0-0",8,1,8,2,1,2,0,0,0,"N","N","N",3,0,-1,-1,"-1,-1",0
"136","E1",2021-08-17,"Blackpool","Coventry",0,1,"A",0,1,"A",3.04,3.24,2.57,"0-1","0-1",12,4,19,5,2,4,0,0,1,"N","N","N",6,0,-2,-1,"-2,-1",-1
"137","E1",2021-08-17,"Huddersfield","Preston",1,0,"H",0,0,"D",2.5,3.21,3.17,"0-0","1-0",7,0,8,2,3,2,0,0,1,"N","N","N",5,0,-4,-1,"-4,-1",-3
"143","E1",2021-08-18,"Hull","Derby",0,1,"A",0,0,"D",1.87,3.63,4.46,"0-0","0-1",9,2,13,5,1,3,0,0,1,"N","N","N",4,0,-3,-1,"-3,-1",-2
"165","E1",2021-08-28,"Luton","Sheffield United",0,0,"D",0,0,"D",2.93,3.26,2.59,"0-0","0-0",9,1,8,1,1,1,0,0,0,"N","N","N",2,0,-5,-1,"-5,-1",-4
"192","E1",2021-09-15,"Nottm Forest","Middlesbrough",0,2,"A",0,1,"A",3.08,2.97,2.73,"0-1","0-2",15,3,13,6,1,5,0,0,2,"Y","N","N",6,0,-1,-2,"-1,-2",1
"204","E1",2021-09-18,"Peterboro","Birmingham",3,0,"H",2,0,"H",3.47,3.35,2.27,"2-0","3-0",9,2,13,2,2,2,0,1,3,"Y","Y","N",4,1,-2,-3,"-2,-3",1
"217","E1",2021-09-25,"Stoke","Hull",2,0,"H",1,0,"H",1.62,3.86,6.51,"1-0","2-0",10,5,12,4,2,0,0,0,2,"Y","N","N",2,0,-1,-2,"-1,-2",1
"237","E1",2021-10-02,"Cardiff","Reading",0,1,"A",0,1,"A",2.01,3.67,3.85,"0-1","0-1",27,5,2,1,4,0,0,0,1,"N","N","N",4,0,-4,-1,"-4,-1",-3
"243","E1",2021-10-15,"West Brom","Birmingham",1,0,"H",0,0,"D",1.67,4.05,5.39,"0-0","1-0",11,3,10,1,3,0,0,0,1,"N","N","N",3,0,-1,-3,"-1,-3",2
"248","E1",2021-10-16,"Middlesbrough","Peterboro",2,0,"H",0,0,"D",1.81,3.62,4.93,"0-0","2-0",17,5,6,0,2,4,0,0,2,"Y","N","N",6,0,-2,-1,"-2,-1",-1
"262","E1",2021-10-20,"Hull","Peterboro",1,2,"A",1,1,"D",2.12,3.5,3.7,"1-1","1-2",19,5,9,5,1,2,0,0,3,"Y","Y","N",3,0,-2,-2,"-2,-2",0
"269","E1",2021-10-23,"Blackburn","Reading",2,0,"H",0,0,"D",1.89,3.7,4.33,"0-0","2-0",12,5,12,2,4,2,0,0,2,"Y","N","N",6,0,-1,-1,"-1,-1",0
"276","E1",2021-10-23,"West Brom","Bristol City",3,0,"H",2,0,"H",1.5,4.23,7.91,"2-0","3-0",23,9,7,2,0,2,0,0,3,"Y","Y","N",2,0,-1,-1,"-1,-1",0
"277","E1",2021-10-24,"Barnsley","Sheffield United",2,3,"A",0,0,"D",3.78,3.54,2.08,"0-0","2-3",11,4,7,4,0,2,0,0,5,"Y","Y","Y",2,0,-2,-1,"-2,-1",-1
"279","E1",2021-10-29,"QPR","Nottm Forest",1,1,"D",1,0,"H",2.19,3.49,3.51,"1-0","1-1",13,4,12,4,2,1,0,0,2,"Y","N","N",3,0,-1,-4,"-1,-4",3
"281","E1",2021-10-30,"Bristol City","Barnsley",2,1,"H",2,1,"H",2.38,3.39,3.2,"2-1","2-1",12,4,18,7,0,0,0,0,3,"Y","Y","N",0,0,-3,-1,"-3,-1",-2
"288","E1",2021-10-30,"Stoke","Cardiff",3,3,"D",2,0,"H",1.95,3.56,4.25,"2-0","3-3",11,4,9,5,3,3,0,0,6,"Y","Y","Y",6,0,-1,-2,"-1,-2",1
"293","E1",2021-11-02,"Luton","Middlesbrough",3,1,"H",0,1,"A",2.36,3.32,3.3,"0-1","3-1",10,3,9,4,4,3,0,0,4,"Y","Y","Y",7,0,-2,-2,"-2,-2",0
"294","E1",2021-11-02,"Millwall","Reading",1,0,"H",0,0,"D",1.94,3.43,4.47,"0-0","1-0",17,5,9,0,2,0,0,0,1,"N","N","N",2,0,-1,-2,"-1,-2",1
"297","E1",2021-11-03,"Barnsley","Derby",2,1,"H",1,1,"D",2.33,3.24,3.46,"1-1","2-1",9,4,15,5,3,2,0,0,3,"Y","Y","N",5,0,-1,-1,"-1,-1",0
"302","E1",2021-11-03,"West Brom","Hull",1,0,"H",0,0,"D",1.41,4.73,8.77,"0-0","1-0",17,5,9,1,2,2,0,0,1,"N","N","N",4,0,-3,-1,"-3,-1",-2
"307","E1",2021-11-06,"Coventry","Bristol City",3,2,"H",0,1,"A",1.66,3.98,5.63,"0-1","3-2",17,6,8,5,1,3,1,0,5,"Y","Y","Y",4,1,-1,-3,"-1,-3",2
"529","E2",2021-08-17,"Cheltenham","Ipswich",2,1,"H",0,1,"A",2.94,3.14,2.67,"0-1","2-1",9,4,12,3,3,1,0,0,3,"Y","Y","N",4,0,-2,-1,"-2,-1",-1
"531","E2",2021-08-17,"Milton Keynes Dons","Charlton",2,1,"H",1,1,"D",2.64,3.48,2.72,"1-1","2-1",12,3,7,3,2,2,0,0,3,"Y","Y","N",4,0,-1,-1,"-1,-1",0
"550","E2",2021-08-27,"Burton","Cheltenham",1,1,"D",0,1,"A",2.52,3.19,3.09,"0-1","1-1",14,3,7,2,2,1,0,0,2,"Y","N","N",3,0,-3,-1,"-3,-1",-2
