"","HT","AT","matchid","HomeTeam","AwayTeam","CS","TG"
"188","Genk","Oud-Heverlee Leuven","Genk-Oud-Heverlee Leuven","Genk","Oud-Heverlee Leuven","4-0",4
"189","Augsburg","Hoffenheim","Augsburg-Hoffenheim","Augsburg","Hoffenheim","0-4",4
"190","Bielefeld","Freiburg","Bielefeld-Freiburg","Bielefeld","Freiburg","0-0",0
"191","Stuttgart","Greuther Furth","Stuttgart-Greuther Furth","Stuttgart","Greuther Furth","5-1",6
"192","Union Berlin","Leverkusen","Union Berlin-Leverkusen","Union Berlin","Leverkusen","1-1",2
"193","Wolfsburg","Bochum","Wolfsburg-Bochum","Wolfsburg","Bochum","1-0",1
"194","Dortmund","Ein Frankfurt","Dortmund-Ein Frankfurt","Dortmund","Ein Frankfurt","5-2",7
"195","Holstein Kiel","Regensburg","Holstein Kiel-Regensburg","Holstein Kiel","Regensburg","0-3",3
"196","Nurnberg","Fortuna Dusseldorf","Nurnberg-Fortuna Dusseldorf","Nurnberg","Fortuna Dusseldorf","2-0",2
"197","Sandhausen","Karlsruhe SC","Sandhausen-Karlsruhe SC","Sandhausen","Karlsruhe SC","0-0",0
"198","Dresden","Hannover","Dresden-Hannover","Dresden","Hannover","2-0",2
"199","Man United","Leeds","Man United-Leeds","Man United","Leeds","5-1",6
"200","Burnley","Brighton","Burnley-Brighton","Burnley","Brighton","1-2",3
"201","Chelsea","Crystal Palace","Chelsea-Crystal Palace","Chelsea","Crystal Palace","3-0",3
"202","Everton","Southampton","Everton-Southampton","Everton","Southampton","3-1",4
"203","Leicester","Wolves","Leicester-Wolves","Leicester","Wolves","1-0",1
"204","Watford","Aston Villa","Watford-Aston Villa","Watford","Aston Villa","3-2",5
"205","Norwich","Liverpool","Norwich-Liverpool","Norwich","Liverpool","0-3",3
"206","Peterboro","Derby","Peterboro-Derby","Peterboro","Derby","2-1",3
"207","Barnsley","Coventry","Barnsley-Coventry","Barnsley","Coventry","1-0",1
"208","Birmingham","Stoke","Birmingham-Stoke","Birmingham","Stoke","0-0",0
"209","Blackpool","Cardiff","Blackpool-Cardiff","Blackpool","Cardiff","0-2",2
"210","Huddersfield","Fulham","Huddersfield-Fulham","Huddersfield","Fulham","1-5",6
"211","Hull","QPR","Hull-QPR","Hull","QPR","0-3",3
"212","Middlesbrough","Bristol City","Middlesbrough-Bristol City","Middlesbrough","Bristol City","2-1",3
"213","Millwall","Blackburn","Millwall-Blackburn","Millwall","Blackburn","1-1",2
"214","Nottm Forest","Bournemouth","Nottm Forest-Bournemouth","Nottm Forest","Bournemouth","1-2",3
"215","Reading","Preston","Reading-Preston","Reading","Preston","2-1",3
"216","West Brom","Luton","West Brom-Luton","West Brom","Luton","3-2",5
"217","Swansea","Sheffield United","Swansea-Sheffield United","Swansea","Sheffield United","0-0",0
"218","Accrington","Cambridge","Accrington-Cambridge","Accrington","Cambridge","2-1",3
"219","AFC Wimbledon","Bolton","AFC Wimbledon-Bolton","AFC Wimbledon","Bolton","3-3",6
"220","Burton","Ipswich","Burton-Ipswich","Burton","Ipswich","2-1",3
"221","Cheltenham","Wycombe","Cheltenham-Wycombe","Cheltenham","Wycombe","1-3",4
"222","Lincoln","Fleetwood Town","Lincoln-Fleetwood Town","Lincoln","Fleetwood Town","2-1",3
"223","Milton Keynes Dons","Sunderland","Milton Keynes Dons-Sunderland","Milton Keynes Dons","Sunderland","1-2",3
"224","Morecambe","Shrewsbury","Morecambe-Shrewsbury","Morecambe","Shrewsbury","2-0",2
"225","Oxford","Charlton","Oxford-Charlton","Oxford","Charlton","2-1",3
"226","Plymouth","Gillingham","Plymouth-Gillingham","Plymouth","Gillingham","1-0",1
"227","Portsmouth","Crewe","Portsmouth-Crewe","Portsmouth","Crewe","2-0",2
"228","Sheffield Weds","Doncaster","Sheffield Weds-Doncaster","Sheffield Weds","Doncaster","2-0",2
"229","Wigan","Rotherham","Wigan-Rotherham","Wigan","Rotherham","1-0",1
"230","Barrow","Hartlepool","Barrow-Hartlepool","Barrow","Hartlepool","3-2",5
"231","Bradford","Oldham","Bradford-Oldham","Bradford","Oldham","2-1",3
"232","Bristol Rvs","Stevenage","Bristol Rvs-Stevenage","Bristol Rvs","Stevenage","0-2",2
"233","Colchester","Northampton","Colchester-Northampton","Colchester","Northampton","0-1",1
"234","Leyton Orient","Exeter","Leyton Orient-Exeter","Leyton Orient","Exeter","3-0",3
"235","Mansfield","Newport County","Mansfield-Newport County","Mansfield","Newport County","2-1",3
"236","Port Vale","Tranmere","Port Vale-Tranmere","Port Vale","Tranmere","0-0",0
"237","Rochdale","Scunthorpe","Rochdale-Scunthorpe","Rochdale","Scunthorpe","0-0",0
"238","Salford","Sutton","Salford-Sutton","Salford","Sutton","0-0",0
"239","Swindon","Carlisle","Swindon-Carlisle","Swindon","Carlisle","1-2",3
"240","Walsall","Forest Green","Walsall-Forest Green","Walsall","Forest Green","1-3",4
"241","Lille","Nice","Lille-Nice","Lille","Nice","0-4",4
"242","Paris SG","Strasbourg","Paris SG-Strasbourg","Paris SG","Strasbourg","4-2",6
"243","Toulouse","Bastia","Toulouse-Bastia","Toulouse","Bastia","1-0",1
"244","Ajaccio","Caen","Ajaccio-Caen","Ajaccio","Caen","2-0",2
"245","Guingamp","Amiens","Guingamp-Amiens","Guingamp","Amiens","0-2",2
"246","Nancy","Valenciennes","Nancy-Valenciennes","Nancy","Valenciennes","0-1",1
"247","Nimes","Pau FC","Nimes-Pau FC","Nimes","Pau FC","0-0",0
"248","Niort","Grenoble","Niort-Grenoble","Niort","Grenoble","1-0",1
"249","Quevilly Rouen","Dijon","Quevilly Rouen-Dijon","Quevilly Rouen","Dijon","2-1",3
"250","Rodez","Le Havre","Rodez-Le Havre","Rodez","Le Havre","0-0",0
"251","Sochaux","Dunkerque","Sochaux-Dunkerque","Sochaux","Dunkerque","1-0",1
"252","Waalwijk","AZ Alkmaar","Waalwijk-AZ Alkmaar","Waalwijk","AZ Alkmaar","1-0",1
"253","Heracles","PSV Eindhoven","Heracles-PSV Eindhoven","Heracles","PSV Eindhoven","0-2",2
"254","For Sittard","Twente","For Sittard-Twente","For Sittard","Twente","2-1",3
"255","Ajax","Nijmegen","Ajax-Nijmegen","Ajax","Nijmegen","5-0",5
"256","Vizela","Tondela","Vizela-Tondela","Vizela","Tondela","2-1",3
"257","Benfica","Arouca","Benfica-Arouca","Benfica","Arouca","2-0",2
"258","Sp Braga","Sp Lisbon","Sp Braga-Sp Lisbon","Sp Braga","Sp Lisbon","1-2",3
"259","Airdrie Utd","Falkirk","Airdrie Utd-Falkirk","Airdrie Utd","Falkirk","1-2",3
"260","Clyde","Alloa","Clyde-Alloa","Clyde","Alloa","2-1",3
"261","Cove Rangers","East Fife","Cove Rangers-East Fife","Cove Rangers","East Fife","5-2",7
"262","Montrose","Peterhead","Montrose-Peterhead","Montrose","Peterhead","1-0",1
"263","Queens Park","Dumbarton","Queens Park-Dumbarton","Queens Park","Dumbarton","3-0",3
"264","Annan Athletic","Stirling","Annan Athletic-Stirling","Annan Athletic","Stirling","3-1",4
"265","Cowdenbeath","Stranraer","Cowdenbeath-Stranraer",NA,NA,NA,NA
"266","Elgin","Albion Rvs","Elgin-Albion Rvs","Elgin","Albion Rvs","3-0",3
"267","Forfar","Kelty Hearts","Forfar-Kelty Hearts","Forfar","Kelty Hearts","2-2",4
"268","Cadiz","Levante","Cadiz-Levante","Cadiz","Levante","1-1",2
"269","Mallorca","Betis","Mallorca-Betis","Mallorca","Betis","1-1",2
"270","Alaves","Real Madrid","Alaves-Real Madrid","Alaves","Real Madrid","1-4",5
