"","MatchNumber","RoundNumber","Location","Date","Home_Team","Away_Team"
"105","105","1","stadium","11/5/2021","Sochi","CSKA Moscow"
"106","106","1","stadium","11/5/2021","FK Rostov","Rubin Kazan"
"107","107","1","stadium","11/5/2021","Arsenal Tula","Ufa"
"108","108","1","stadium","11/5/2021","Akhmat Grozny","Nizhny Novgorod"
"109","109","1","stadium","11/5/2021","Spartak Moscow","Lokomotiv Moscow"
"110","110","1","stadium","11/5/2021","Ural","Zenit"
"111","111","1","stadium","11/5/2021","FK Krylya Sovetov Samara","Khimki"
"112","112","1","stadium","11/5/2021","Dynamo Moscow","Krasnodar"
"113","113","1","stadium","11/19/2021","Lokomotiv Moscow","Akhmat Grozny"
"114","114","1","stadium","11/19/2021","Sochi","Rubin Kazan"
"115","115","1","stadium","11/19/2021","Zenit","Nizhny Novgorod"
"116","116","1","stadium","11/19/2021","Krasnodar","Spartak Moscow"
"117","117","1","stadium","11/19/2021","FK Rostov","Ufa"
"118","118","1","stadium","11/19/2021","FK Krylya Sovetov Samara","Ural"
"119","119","1","stadium","11/19/2021","Dynamo Moscow","Arsenal Tula"
"120","120","1","stadium","11/19/2021","CSKA Moscow","Khimki"
"121","121","1","stadium","11/26/2021","Nizhny Novgorod","FK Krylya Sovetov Samara"
"122","122","1","stadium","11/26/2021","Khimki","Krasnodar"
"123","123","1","stadium","11/26/2021","Akhmat Grozny","FK Rostov"
"124","124","1","stadium","11/26/2021","Arsenal Tula","Lokomotiv Moscow"
"125","125","1","stadium","11/26/2021","Rubin Kazan","Dynamo Moscow"
"126","126","1","stadium","11/26/2021","Ural","Sochi"
"127","127","1","stadium","11/26/2021","CSKA Moscow","Zenit"
"128","128","1","stadium","11/26/2021","Ufa","Spartak Moscow"
"129","129","1","stadium","12/3/2021","Zenit","FK Rostov"
"130","130","1","stadium","12/3/2021","FK Krylya Sovetov Samara","CSKA Moscow"
"131","131","1","stadium","12/3/2021","Nizhny Novgorod","Rubin Kazan"
"132","132","1","stadium","12/3/2021","Spartak Moscow","Akhmat Grozny"
"133","133","1","stadium","12/3/2021","Dynamo Moscow","Ufa"
"134","134","1","stadium","12/3/2021","Sochi","Krasnodar"
"135","135","1","stadium","12/3/2021","Khimki","Arsenal Tula"
"136","136","1","stadium","12/3/2021","Lokomotiv Moscow","Ural"
"137","137","1","stadium","12/10/2021","Sochi","Spartak Moscow"
"138","138","1","stadium","12/10/2021","Akhmat Grozny","Khimki"
"139","139","1","stadium","12/10/2021","FK Krylya Sovetov Samara","Rubin Kazan"
"140","140","1","stadium","12/10/2021","FK Rostov","Ural"
"141","141","1","stadium","12/10/2021","Lokomotiv Moscow","Ufa"
"142","142","1","stadium","12/10/2021","Krasnodar","Nizhny Novgorod"
"143","143","1","stadium","12/10/2021","CSKA Moscow","Arsenal Tula"
"144","144","1","stadium","12/10/2021","Dynamo Moscow","Zenit"
"145","145","1","stadium","2/25/2022","Sochi","Arsenal Tula"
"146","146","1","stadium","2/25/2022","Spartak Moscow","CSKA Moscow"
"147","147","1","stadium","2/25/2022","Akhmat Grozny","Ufa"
"148","148","1","stadium","2/25/2022","FK Rostov","FK Krylya Sovetov Samara"
"149","149","1","stadium","2/25/2022","Nizhny Novgorod","Ural"
"150","150","1","stadium","2/25/2022","Zenit","Rubin Kazan"
"151","151","1","stadium","2/25/2022","Khimki","Dynamo Moscow"
"152","152","1","stadium","2/25/2022","Krasnodar","Lokomotiv Moscow"
"153","153","1","stadium","3/4/2022","Krasnodar","Ural"
"154","154","1","stadium","3/4/2022","Zenit","Ufa"
"155","155","1","stadium","3/4/2022","Dynamo Moscow","Spartak Moscow"
"156","156","1","stadium","3/4/2022","FK Rostov","Sochi"
"157","157","1","stadium","3/4/2022","FK Krylya Sovetov Samara","Arsenal Tula"
"158","158","1","stadium","3/4/2022","CSKA Moscow","Nizhny Novgorod"
"159","159","1","stadium","3/4/2022","Akhmat Grozny","Rubin Kazan"
