"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","TG","TC","COSC","OV15","OV25","OV35","TY","TR","matchid","ligueone_goalmins","n","ligueone_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"121","F1",2022-10-28,"Lens","Toulouse",3,0,"H",0,0,"D",1.58,4.6,5.73,"0-0","3-0",13,8,9,0,2,1,0,0,6,8,3,14,"6-8","Y","Y","N",3,0,"Lens-Toulouse",236,3,0,30,200,90,420,0,42,0,0,3304,1260
"133","F1",2022-11-05,"Angers","Lens",1,2,"A",0,1,"A",5.02,4.09,1.72,"0-1","1-2",6,3,12,4,1,2,0,0,3,4,3,7,"3-4","Y","Y","N",3,0,"Angers-Lens",159,3,41,30,200,90,210,1230,21,123,287,1113,630
"142","F1",2022-11-12,"Lens","Clermont",2,1,"H",0,1,"A",1.43,5.03,7.96,"0-1","2-1",16,3,5,2,1,3,0,0,5,3,3,8,"5-3","Y","Y","N",4,0,"Lens-Clermont",167,3,56,40,300,120,320,2240,24,168,448,1336,960
"160","F1",2022-12-29,"Nice","Lens",0,0,"D",0,0,"D",3.25,3.06,2.58,"0-0","0-0",9,5,10,2,2,3,0,0,4,6,0,10,"4-6","N","N","N",5,0,"Nice-Lens",0,0,0,50,600,0,500,0,0,0,0,0,0
"166","F1",2023-01-01,"Lens","Paris SG",3,1,"H",2,1,"H",3.31,3.54,2.28,"2-1","3-1",10,4,16,6,2,3,0,0,3,7,4,10,"3-7","Y","Y","Y",5,0,"Lens-Paris SG",88,4,102,50,600,200,500,5100,40,408,1020,880,2000
"179","F1",2023-01-11,"Strasbourg","Lens",2,2,"D",2,2,"D",3.85,3.64,2.05,"2-2","2-2",9,6,15,8,1,1,0,0,3,4,4,7,"3-4","Y","Y","Y",2,0,"Strasbourg-Lens",73,4,52,20,100,80,140,1040,28,208,364,511,560
"181","F1",2023-01-14,"Lens","Auxerre",1,0,"H",0,0,"D",1.38,5.09,9.65,"0-0","1-0",10,2,6,1,2,4,0,1,9,2,1,11,"9-2","N","N","N",6,1,"Lens-Auxerre",59,1,29,85,1300,85,935,2465,11,29,319,649,935
"192","F1",2023-01-28,"Troyes","Lens",1,1,"D",0,0,"D",5.2,4.03,1.71,"0-0","1-1",6,1,21,5,2,2,0,0,3,11,2,14,"3-11","Y","N","N",4,0,"Troyes-Lens",138,2,67,40,400,80,560,2680,28,134,938,1932,1120
"206","F1",2023-02-01,"Lens","Nice",0,1,"A",0,0,"D",1.75,3.66,5.58,"0-0","0-1",9,4,14,6,0,2,0,0,5,3,1,8,"5-3","N","N","N",2,0,"Lens-Nice",57,1,24,20,0,20,160,480,8,24,192,456,160
"219","F1",2023-02-05,"Brest","Lens",1,1,"D",0,0,"D",4.67,3.79,1.83,"0-0","1-1",16,3,20,7,4,2,0,0,11,5,2,16,"11-5","Y","N","N",6,0,"Brest-Lens",137,2,46,60,800,120,960,2760,32,92,736,2192,1920
"451","F1",2023-02-05,"Brest","Lens",1,1,"D",0,0,"D",4.67,3.79,1.83,"0-0","1-1",16,3,20,7,4,2,0,0,11,5,2,16,"11-5","Y","N","N",6,0,"Brest-Lens",124.431818181818,2.43181818181818,36.4772727272727,41.3636363636364,471.590909090909,99.5454545454545,395,1598.18181818182,23.6136363636364,130.113636363636,352.840909090909,1231.11363636364,957.159090909091
